,Kanji,Number (KANJIDIC),Heisig RTK1/3,JIS,KanKen (Jun1=1.5) (Jun2=2.5),strokes,Kana,English
,衛,144,1646,3152,6,16,エイ    エ    Name Readings:  もり    い    まもる    ,"defense, protection "
,製,1533,419,403D,6,14,セイ    ,"made in..., manufacture "
,複,2447,465,4A23,6,14,フク    ,"duplicate, double, compound, multiple "
,規,482,841,352C,6,11,キ    Name Readings:  すのり    ただし    のり    み    ,"standard, measure "
,解,270,1814,3272,6,13,カイ    ゲ    と.く    と.かす    と.ける    ほど.く    ほど.ける    わか.る    さと.る    Name Readings:  さとる    とけ    ,"unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute "
,設,1567,708,405F,6,11,セツ    もう.ける    Name Readings:  した    ,"establishment, provision, prepare "
,許,556,569,3576,6,11,キョ    ゆる.す    もと    ,"permit, approve "
,証,1374,380,3E5A,6,12,ショウ    あかし    ,"evidence, proof, certificate "
,評,2380,1487,493E,6,12,ヒョウ    ,"evaluate, criticism, comment "
,講,900,1816,3956,6,17,コウ    ,"lecture, club, association "
,謝,1181,1250,3C55,6,17,シャ    あやま.る    Name Readings:  さ    ざ    ,"apologize, thank, refuse "
,識,1145,482,3C31,6,19,シキ    Name Readings:  さと    さとる    ,"discriminating, know, write "
,護,830,700,386E,6,20,ゴ    まも.る    Name Readings:  もり    ,"safeguard, protect "
,豊,2551,1443,4B2D,6,13,ホウ    ブ    ゆた.か    とよ    Name Readings:  て    で    と    ひろし    ふう    ぶん    ほ    ゆたか    ,"bountiful, excellent, rich "
,財,1006,682,3A62,6,10,ザイ    サイ    ゾク    Name Readings:  たから    ,"property, money, wealth, assets "
,貧,2397,782,494F,6,11,ヒン    ビン    まず.しい    ,"poverty, poor "
,責,1557,1541,4055,6,11,セキ    せ.める    ,"blame, condemn, censure "
,貸,1755,1007,425F,6,12,タイ    か.す    か.し-    かし-    ,lend 
,貿,2577,1424,4B47,6,12,ボウ    ,"trade, exchange "
,賀,264,868,326C,6,12,ガ    Name Readings:  か    のり    よし    より    ,"congratulations, joy "
,資,1115,473,3B71,6,13,シ    Name Readings:  すけ    もと    ,"assets, resources, capital, funds, data, be conducive to, contribute to "
,賛,1065,843,3B3F,6,15,サン    たす.ける    たた.える    ,"approve, praise, title or inscription on picture, assist, agree with "
,質,1161,1137,3C41,6,15,シツ    シチ    チ    たち    ただ.す    もと    わりふ    ,"substance, quality, matter, temperament "
,輸,2728,289,4D22,6,16,ユ    シュ    ,"transport, send, be inferior "
,述,1272,1524,3D52,6,7,ジュツ    の.べる    ,"mention, state, speak, relate "
,迷,2666,924,4C42,6,8,メイ    まよ.う    ,"astray, be perplexed, in doubt, lost, err, illusion "
,退,1756,1465,4260,6,8,タイ    しりぞ.く    しりぞ.ける    ひ.く    の.く    の.ける    ど.く    ,"retreat, withdraw, retire, resign, repel, expel, reject "
,逆,523,1959,3555,6,8,ギャク    ゲキ    さか    さか.さ    さか.らう    ,"inverted, reverse, opposite, wicked "
,造,1696,281,4224,6,9,ゾウ    つく.る    つく.り    -づく.り    Name Readings:  ずくり    づくり    み    ,"create, make, structure, physique "
,過,253,1293,3261,6,11,カ    す.ぎる    -す.ぎる    -す.ぎ    す.ごす    あやま.つ    あやま.ち    ,"overdo, exceed, go beyond, error "
,適,1986,441,452C,6,13,テキ    かな.う    ,"suitable, occasional, rare, qualified, capable "
,酸,1066,1437,3B40,6,14,サン    す.い    ,"acid, bitterness, sour, tart "
,鉱,905,741,395B,6,13,コウ    あらがね    ,"mineral, ore "
,銅,2096,272,463C,6,14,ドウ    あかがね    ,copper 
,銭,1610,368,412C,6,14,セン    ゼン    ぜに    すき    ,"coin, .01 yen, money "
,防,2579,1302,4B49,6,7,ボウ    ふせ.ぐ    Name Readings:  あた    う    ほう    ,"ward off, defend, protect, resist "
,限,786,1466,3842,6,9,ゲン    かぎ.る    かぎ.り    -かぎ.り    ,"limit, restrict, to best of ability "
,険,769,1672,3831,6,11,ケン    けわ.しい    ,"precipitous, inaccessible place, impregnable position, steep place, sharp eyes "
,際,1001,1296,3A5D,6,14,サイ    きわ    -ぎわ    Name Readings:  わ    ,"occasion, side, edge, verge, dangerous, adventurous, indecent, time, when "
,雑,1042,562,3B28,6,14,ザツ    ゾウ    まじ.える    まじ.る    ,miscellaneous 
,非,2339,1632,4873,6,8,ヒ    あら.ず    ,"un-, mistake, negative, injustice, non- "
,預,2760,1595,4D42,6,13,ヨ    あず.ける    あず.かる    ,"deposit, custody, leave with, entrust to "
,領,2866,1405,4E4E,6,14,リョウ    Name Readings:  よう    よし    ,"jurisdiction, dominion, territory, fief, reign "
,額,341,295,335B,6,18,ガク    ひたい    Name Readings:  ぬか    ,"forehead, tablet, plaque, framed picture, sum, amount, volume "
,飼,1118,1866,3B74,6,13,シ    か.う    Name Readings:  かい    ,"domesticate, raise, keep, feed "
,並,2478,1785,4A42,5,8,ヘイ    ホウ    な.み    なら.べる    なら.ぶ    なら.びに    Name Readings:  なび    ,"row, and, besides, as well as, line up, rank with, rival, equal "
,乱,2806,72,4D70,5,7,ラン    ロン    みだ.れる    みだ.る    みだ.す    みだ    おさ.める    わた.る    Name Readings:  ら    ,"riot, war, disorder, disturb "
,乳,2161,729,467D,5,8,ニュウ    ちち    ち    ,"milk, breasts "
,亡,2558,485,4B34,5,3,ボウ    モウ    な.い    な.き-    ほろ.びる    ほろ.ぶ    ほろ.ぼす    ,"deceased, the late, dying, perish "
,仁,1456,988,3F4E,5,4,ジン    ニ    ニン    Name Readings:  きみ    く    さと    しのぶ    じ    と    のり    ひと    ひとし    ひろ    まさ    まさし    やす    よし    ,"humanity, virtue, benevolence, charity, man, kernel "
,供,565,1796,3621,5,8,キョウ    ク    クウ    グ    そな.える    とも    -ども    ,"submit, offer, present, serve (meal), accompany "
,俳,2210,1633,4750,5,10,ハイ    ,"haiku, actor "
,値,1831,978,434D,5,10,チ    ね    あたい    Name Readings:  じ    ,"price, cost, value "
,傷,1315,996,3D7D,5,13,ショウ    きず    いた.む    いた.める    ,"wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point "
,優,2731,993,4D25,5,17,ユウ    ウ    やさ.しい    すぐ.れる    まさ.る    Name Readings:  ゆ    よし    ,"tenderness, excel, surpass, actor, superiority, gentleness "
,党,2036,797,455E,5,10,トウ    なかま    むら    ,"party, faction, clique "
,冊,1033,1826,3A7D,5,5,サツ    サク    ふみ    ,"tome, counter for books, volume "
,処,1294,297,3D68,5,5,ショ    ところ    -こ    お.る    ,"dispose, manage, deal with, sentence, condemn, act, behave, place "
,刻,925,1521,396F,5,8,コク    きざ.む    きざ.み    ,"engrave, cut fine, chop, hash, mince, time, carving "
,割,350,1553,3364,5,12,カツ    わ.る    わり    わ.り    わ.れる    さ.く    ,"proportion, comparatively, divide, cut, separate, split "
,創,1645,1631,414F,5,12,ソウ    ショウ    つく.る    はじ.める    きず    けず.しける    Name Readings:  はじめ    ,"genesis, wound, injury, hurt, start, originate "
,劇,722,1997,3760,5,15,ゲキ    ,"drama, play "
,勤,612,1577,3650,5,12,キン    ゴン    つと.める    -づと.め    つと.まる    いそ.しむ    ,"diligence, become employed, serve "
,危,453,1416,346D,5,6,キ    あぶ.ない    あや.うい    あや.ぶむ    ,"dangerous, fear, uneasy "
,卵,2807,1422,4D71,5,7,ラン    たまご    ,"egg, ovum, spawn, roe "
,厳,775,1936,3837,5,17,ゲン    ゴン    おごそ.か    きび.しい    いか.めしい    いつくし    Name Readings:  いつ    いづ    きゅうら    とし    ,"stern, strictness, severity, rigidity "
,収,1221,1510,3C7D,5,5,シュウ    おさ.める    おさ.まる    Name Readings:  のぶ    ,"income, obtain, reap, pay, supply, store "
,后,847,1861,3921,5,6,コウ    ゴ    きさき    ,"empress, queen, after, behind, back, later "
,否,2317,1218,485D,5,7,ヒ    いな    いや    ,"negate, no, noes, refuse, decline, deny "
,吸,529,689,355B,5,6,キュウ    す.う    ,"suck, imbibe, inhale, sip "
,呼,790,1485,3846,5,8,コ    よ.ぶ    Name Readings:  よぶ    ,"call, call out to, invite "
,善,1615,1035,4131,5,12,ゼン    よ.い    い.い    よ.く    よし.とする    Name Readings:  たる    よし    ,"virtuous, good, goodness "
,困,944,579,3A24,5,7,コン    こま.る    ,"quandary, become distressed, annoyed "
,垂,1476,1582,3F62,5,8,スイ    た.れる    た.らす    た.れ    -た.れ    なんなんと.す    Name Readings:  たる    だれ    ,"droop, suspend, hang, slouch "
,城,1391,362,3E6B,5,9,ジョウ    しろ    Name Readings:  いく    がき    き    くに    ぐしく    ぐすく    しき    すく    ぜい    たち    なり    ,castle 
,域,72,356,3068,5,11,イキ    ,"range, region, limits, stage, level "
,奏,1651,1571,4155,5,9,ソウ    かな.でる    Name Readings:  すすむ    ,"play music, speak to a ruler, complete "
,奮,2463,565,4A33,5,16,フン    ふる.う    ,"stirred up, be invigorated, flourish "
,姿,1083,474,3B51,5,9,シ    すがた    Name Readings:  しな    ,"figure, form, shape "
,存,1716,684,4238,5,6,ソン    ゾン    Name Readings:  まさ    ,"suppose, be aware of, believe, feel "
,孝,853,1253,3927,5,7,コウ    キョウ    Name Readings:  たか    たかし    のり    よし    ,"filial piety, child's respect "
,宅,1772,1916,4270,5,6,タク    Name Readings:  け    たか    たけ    や    やけ    ,"home, house, residence, our house, my husband "
,宇,101,1656,3127,5,6,ウ    Name Readings:  いえ    たか    ひろ    ひろし    ,"eaves, roof, house, heaven "
,宗,1223,1100,3D21,5,8,シュウ    ソウ    むね    Name Readings:  かず    し    そ    そお    たか    とし    のり    ひろ    むな    もと    よし    ,"religion, sect, denomination, main point, origin, essence "
,宙,1858,1109,4368,5,8,チュウ    Name Readings:  ひろ    ゆ    ,"mid-air, air, space, sky, memorization, interval of time "
,宝,2529,257,4A75,5,8,ホウ    たから    Name Readings:  ほ    ,"treasure, wealth, valuables "
,宣,1579,188,406B,5,9,セン    のたむ.う    のたま.わく    Name Readings:  とおる    のぶ    のぼる    のり    ひさ    よし    ,"proclaim, say, announce "
,密,2641,775,4C29,5,11,ミツ    ひそ.か    ,"secrecy, density (pop), minuteness, carefulness "
,寸,1507,45,4023,5,3,スン    Name Readings:  す    みき    ,"measurement, foot/10 "
,専,1580,46,406C,5,9,セン    もっぱ.ら    ,"specialty, exclusive, mainly, solely "
,射,1173,1249,3C4D,5,10,シャ    い.る    さ.す    ,"shoot, shine into, onto, archery "
,将,1329,731,3E2D,5,10,ショウ    ソウ    まさ.に    はた    まさ    ひきい.る    もって    Name Readings:  かつ    かつり    すすむ    たか    ゆき    ,"leader, commander, general, admiral, or, and again, soon, from now on, just about "
,尊,1718,1439,423A,5,12,ソン    たっと.い    とうと.い    たっと.ぶ    とうと.ぶ    Name Readings:  さだ    たか    たけ    みこと    ,"revered, valuable, precious, noble, exalted "
,就,1224,1969,3D22,5,12,シュウ    ジュ    つ.く    つ.ける    Name Readings:  たか    なり    ,"concerning, settle, take position, depart, study, per "
,尺,1188,1070,3C5C,5,4,シャク    Name Readings:  せき    ,"shaku, Japanese foot, measure, scale, rule "
,届,2115,1110,464F,5,8,カイ    とど.ける    -とど.け    とど.く    ,"deliver, reach, arrive, report, notify, forward "
,展,1998,1925,4538,5,10,テン    Name Readings:  のぶ    のり    ひろ    ゆき    ,"unfold, expand "
,層,1654,1065,4158,5,14,ソウ    ,"stratum, social class, layer, story, floor "
,己,794,525,384A,5,3,コ    キ    おのれ    つちのと    Name Readings:  し    み    ,"self, snake, serpent "
,巻,388,1207,342C,5,9,カン    ケン    ま.く    まき    ま.き    ,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls) "
,幕,2613,409,4B6B,5,13,マク    バク    ,"curtain, bunting, act of play "
,干,395,1648,3433,5,3,カン    ほ.す    ほ.し-    -ぼ.し    ひ.る    Name Readings:  ほし    ,"dry, parch "
,幼,2762,1378,4D44,5,5,ヨウ    おさな.い    Name Readings:  うぶ    わか    ,"infancy, childhood "
,庁,1883,591,4423,5,5,チョウ    テイ    やくしょ    ,government office 
,座,974,1024,3A42,5,10,ザ    すわ.る    ,"squat, seat, cushion, gathering, sit "
,延,162,392,3164,5,8,エン    の.びる    の.べる    の.べ    の.ばす    Name Readings:  たか    のぶ    のべ    ,"prolong, stretching "
,律,2827,874,4E27,5,9,リツ    リチ    レツ    Name Readings:  たかし    のり    ,"rhythm, law, regulation, gauge, control "
,従,1252,877,3D3E,5,10,ジュウ    ショウ    ジュ    したが.う    したが.える    より    ,"accompany, obey, submit to, comply, follow, secondary, incidental, subordinate "
,忘,2564,596,4B3A,5,7,ボウ    わす.れる    ,forget 
,忠,1859,602,4369,5,8,チュウ    Name Readings:  きよし    たた    ただ    ただし    なお    ,"loyalty, fidelity, faithfulness "
,憲,749,1554,377B,5,16,ケン    Name Readings:  かず    のり    よし    ,"constitution, law "
,我,258,640,3266,5,7,ガ    われ    わ    わ.が-    わが-    Name Readings:  あ    あが    か    ,"ego, I, selfish, our, oneself "
,批,2323,649,4863,5,7,ヒ    ,"criticism, strike "
,担,1806,668,4334,5,8,タン    かつ.ぐ    にな.う    ,"shouldering, carry, raise, bear "
,拝,2212,1564,4752,5,8,ハイ    おが.む    おろが.む    ,"worship, adore, pray to "
,拡,322,740,3348,5,8,カク    コウ    ひろ.がる    ひろ.げる    ひろ.める    ,"broaden, extend, expand, enlarge "
,捨,1174,655,3C4E,5,11,シャ    す.てる    ,"discard, throw away, abandon, resign, reject, sacrifice "
,探,1807,1327,4335,5,11,タン    さぐ.る    さが.す    ,"grope, search, look for "
,推,1478,663,3F64,5,11,スイ    お.す    ,"conjecture, infer, guess, suppose, support "
,揮,464,662,3478,5,12,キ    ふる.う    ,"brandish, wave, wag, swing, shake "
,操,1662,671,4160,5,16,ソウ    サン    みさお    あやつ.る    Name Readings:  さお    みさ    ,"maneuver, manipulate, operate, steer, chastity, virginity, fidelity "
,敬,699,334,3749,5,12,ケイ    キョウ    うやま.う    Name Readings:  け    たか    たかし    たけ    とし    のり    ひろ    ゆき    よし    ,"awe, respect, honor, revere "
,映,133,1742,3147,5,9,エイ    うつ.る    うつ.す    は.える    -ば.え    Name Readings:  あきら    え    てる    ,"reflect, reflection, projection "
,晩,2309,1974,4855,5,12,バン    ,"nightfall, night "
,暖,1826,1949,4348,5,13,ダン    ノン    あたた.か    あたた.かい    あたた.まる    あたた.める    ,warmth 
,暮,2519,232,4A6B,5,14,ボ    く.れる    く.らす    Name Readings:  ぐらし    ぐれ    ぽ    ,"livelihood, make a living, spend time "
,朗,2929,1469,4F2F,5,10,ロウ    ほが.らか    あき.らか    Name Readings:  あき    あきら    お    さえ    ろ    ,"melodious, clear, bright, serene, cheerful "
,机,465,210,3479,5,6,キ    つくえ    ,"desk, table "
,枚,2609,332,4B67,5,8,マイ    バイ    Name Readings:  ひら    ,"sheet of..., counter for flat thin objects or sheets "
,染,1591,509,4077,5,9,セン    そ.める    -ぞ.め    -ぞめ    そ.まる    し.みる    -じ.みる    し.み    -し.める    Name Readings:  そめ    ,"dye, color, paint, stain, print "
,株,366,222,3374,5,10,シュ    かぶ    ,"stocks, stump, shares, stock, counter for small plants "
,棒,2570,1575,4B40,5,12,ボウ    ,"rod, stick, cane, pole, club, line "
,模,2679,229,4C4F,5,14,モ    ボ    Name Readings:  がみ    ,"imitation, copy, mock "
,権,754,571,3822,5,15,ケン    ゴン    おもり    かり    はか.る    ,"authority, power, rights "
,樹,1217,1446,3C79,5,16,ジュ    き    Name Readings:  いつき    うえ    こ    しげ    じ    たちき    たつ    たつる    な    ,"timber trees, wood "
,欲,2789,792,4D5F,5,11,ヨク    ほっ.する    ほ.しい    ,"longing, covetousness, greed, passion, desire, craving "
,段,1828,1859,434A,5,9,ダン    タン    ,"grade, steps, stairs "
,沿,166,795,3168,5,8,エン    そ.う    -ぞ.い    ,"run alongside, follow along, run along, lie along "
,泉,1588,133,4074,5,9,セン    いずみ    Name Readings:  いず    ずい    ずみ    ぜい    ぜん    の    ,"spring, fountain "
,洗,1590,249,4076,5,9,セン    あら.う    Name Readings:  あらい    らい    ,"wash, inquire into, probe "
,派,2203,1855,4749,5,9,ハ    ,"faction, group, party, clique, sect, school "
,済,989,1731,3A51,5,11,サイ    セイ    す.む    -ず.み    -ずみ    す.まない    す.ます    -す.ます    すく.う    な.す    わたし    わた.る    Name Readings:  すむ    なり    わたる    ,"finish, come to an end, excusable, need not "
,源,779,142,383B,5,13,ゲン    みなもと    Name Readings:  はら    みな    もと    ,"source, origin "
,潮,1892,141,442C,5,15,チョウ    しお    うしお    Name Readings:  いた    ,"tide, salt water, opportunity "
,激,725,497,3763,5,16,ゲキ    はげ.しい    ,"violent, get excited, enraged, chafe, incite "
,灰,287,168,3325,5,6,カイ    はい    ,"ashes, puckery juice, cremate "
,熟,1269,310,3D4F,5,15,ジュク    う.れる    ,"mellow, ripen, mature, acquire skill "
,片,2494,1212,4A52,5,4,ヘン    かた-    かた    ,"one-sided, leaf, sheet "
,班,2297,1229,4849,5,10,ハン    ,"squad, corps, unit, group "
,異,59,1797,305B,5,11,イ    こと    こと.なる    け    ,"uncommon, queerness, strangeness, wonderful, curious, unusual "
,疑,501,1410,353F,5,14,ギ    うたが.う    ,"doubt, distrust, be suspicious, question "
,痛,1923,1690,444B,5,12,ツウ    いた.い    いた.む    いた.ましい    いた.める    ,"pain, hurt, damage, bruise "
,皇,882,261,3944,5,9,コウ    オウ    Name Readings:  おうじ    おお    み    ,emperor 
,盛,1529,1457,4039,5,11,セイ    ジョウ    も.る    さか.る    さか.ん    Name Readings:  もり    ,"boom, prosper, copulate "
,盟,2665,1450,4C41,5,13,メイ    ,"alliance, oath "
,看,415,638,3447,5,9,カン    み.る    ,"watch over, see "
,砂,969,117,3A3D,5,9,サ    シャ    すな    Name Readings:  いさ    ご    ,sand 
,磁,1135,1390,3C27,5,14,ジ    ,"magnet, porcelain "
,私,1102,902,3B64,5,7,シ    わたくし    わたし    ,"private, I, me "
,秘,2331,904,486B,5,10,ヒ    ひ.める    ひそ.か    かく.す    ,"secret, conceal "
,穀,928,917,3972,5,14,コク    Name Readings:  たけ    ,"cereals, grain "
,穴,732,1316,376A,5,5,ケツ    あな    Name Readings:  けな    しし    な    ,"hole, aperture, slit, cave, den "
,窓,1673,749,416B,5,11,ソウ    ス    まど    てんまど    けむだし    ,"window, pane "
,筋,622,941,365A,5,12,キン    すじ    ,"muscle, sinew, tendon, fiber, plot, plan, descent "
,策,1026,948,3A76,5,12,サク    ,"scheme, plan, policy, step, means "
,簡,418,1621,344A,5,18,カン    ,"simplicity, brevity "
,糖,2066,1158,457C,5,16,トウ    ,sugar 
,系,705,1391,374F,5,7,ケイ    ,"lineage, system "
,紅,886,1355,3948,5,9,コウ    ク    べに    くれない    あか.い    Name Readings:  くれ    もみ    ,"crimson, deep red "
,納,2190,1356,473C,5,10,ノウ    ナッ    ナ    ナン    トウ    おさ.める    -おさ.める    おさ.まる    Name Readings:  の    ろ    ,"settlement, obtain, reap, pay, supply, store "
,純,1289,1494,3D63,5,10,ジュン    Name Readings:  あつ    すみ    み    やすし    よし    ,"genuine, purity, innocence, net (profit) "
,絹,760,1368,3828,5,13,ケン    きぬ    ,silk 
,縦,1258,1338,3D44,5,16,ジュウ    たて    ,"vertical, length, height, self-indulgent, wayward "
,縮,1266,1336,3D4C,5,17,シュク    ちぢ.む    ちぢ.まる    ちぢ.める    ちぢ.れる    ちぢ.らす    ,"shrink, contract, shrivel, wrinkle, reduce "
,署,1302,1259,3D70,5,13,ショ    ,"signature, govt office, police station "
,翌,2792,575,4D62,5,11,ヨク    ,"the following, next "
,聖,1531,825,403B,5,13,セイ    ショウ    ひじり    Name Readings:  きよ    さと    さとし    せ    たか    ただ    ひろ    まさ    み    ,"holy, saint, sage, master, priest "
,肺,2219,414,4759,5,9,ハイ    ,lungs 
,背,2218,446,4758,5,9,ハイ    せ    せい    そむ.く    そむ.ける    ,"stature, height, back, behind, disobey, defy, go back on, rebel "
,胸,591,1491,363B,5,10,キョウ    むね    むな-    ,"bosom, breast, chest, heart, feelings "
,脳,2192,1934,473E,5,11,ノウ    ドウ    のうずる    ,"brain, memory "
,腹,2446,464,4A22,5,13,フク    はら    ,"abdomen, belly, stomach "
,臓,1693,851,4221,5,19,ゾウ    はらわた    ,"entrails, viscera, bowels "
,臨,2875,854,4E57,5,18,リン    のぞ.む    Name Readings:  み    ,"look to, face, meet, confront, attend, call on "
,至,1108,753,3B6A,5,6,シ    いた.る    Name Readings:  のぶ    のり    みち    よし    ,"climax, arrive, proceed, reach, attain, result in "
,若,1195,223,3C63,5,8,ジャク    ニャク    ニャ    わか.い    わか-    も.しくわ    も.し    も.しくは    Name Readings:  わく    わこ    ,"young, if, perhaps, possibly, low number, immature "
,著,1874,1258,4378,5,11,チョ    チャク    あらわ.す    いちじる.しい    ,"renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work "
,蒸,1404,1900,3E78,5,13,ジョウ    セイ    む.す    む.れる    む.らす    ,"steam, heat, sultry, foment, get musty "
,蔵,1694,850,4222,5,15,ゾウ    ソウ    くら    おさ.める    かく.れる    Name Readings:  くらし    くらん    くろう    さし    ざ    ろう    ,"storehouse, hide, own, have, possess "
,蚕,1063,523,3B3D,5,10,サン    テン    かいこ    こ    ,silkworm 
,衆,1238,1857,3D30,5,12,シュウ    シュ    おお.い    ,"masses, great numbers, multitude, populace "
,裁,999,397,3A5B,5,12,サイ    た.つ    さば.く    ,"tailor, judge, decision, cut out (pattern) "
,装,1683,398,4175,5,12,ソウ    ショウ    よそお.う    よそお.い    ,"attire, dress, pretend, disguise, profess "
,裏,2822,399,4E22,5,13,リ    うら    ,"back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side "
,補,2512,1840,4A64,5,12,ホ    おぎな.う    ,"supplement, supply, make good, offset, compensate, assistant, learner "
,視,1109,1093,3B6B,5,11,シ    み.る    Name Readings:  とも    み    ,"inspection, regard as, see, look at "
,覧,2813,855,4D77,5,17,ラン    み.る    ,"perusal, see "
,討,2072,340,4624,5,10,トウ    う.つ    ,"chastise, attack, defeat, destroy, conquer "
,訪,2550,495,4B2C,5,11,ホウ    おとず.れる    たず.ねる    と.う    Name Readings:  わ    ,"call on, visit, look up, offer sympathy "
,訳,2717,1073,4C75,5,11,ヤク    わけ    ,"translate, reason, circumstance, case "
,詞,1110,1865,3B6C,5,12,シ    ,"part of speech, words, poetry "
,誌,1113,601,3B6F,5,14,シ    ,"document, records "
,認,2169,598,4727,5,14,ニン    みと.める    したた.める    ,"acknowledge, witness, discern, recognize, appreciate, believe "
,誕,1820,393,4342,5,15,タン    ,"nativity, be born, declension, lie, be arbitrary "
,誠,1535,363,403F,5,13,セイ    まこと    Name Readings:  きよ    さと    しげ    とも    のぶ    ま    まこ    まさ    ,"sincerity, admonish, warn, prohibit, truth, fidelity "
,誤,829,1899,386D,5,14,ゴ    あやま.る    -あやま.る    ,"mistake, err, do wrong, mislead "
,論,2946,1820,4F40,5,15,ロン    ,"argument, discourse "
,諸,1306,1261,3D74,5,15,ショ    もろ    ,"various, many, several, together "
,警,715,336,3759,5,19,ケイ    いまし.める    ,"admonish, commandment "
,貴,484,1771,352E,5,12,キ    たっと.い    とうと.い    たっと.ぶ    とうと.ぶ    Name Readings:  きよ    ぎ    たか    たかし    よし    ,"precious, value, prize, esteem, honor "
,賃,1914,1004,4442,5,13,チン    Name Readings:  すけ    ,"fare, fee, hire, rent, wages, charge "
,遺,68,1772,3064,5,14,イ    ユイ    ,"bequeath, leave behind, reserve "
,郵,2751,1847,4D39,5,10,ユウ    ,"mail, stagecoach stop "
,郷,595,1849,363F,5,10,キョウ    ゴウ    さと    Name Readings:  くに    ,"home town, village, native place, district "
,針,1453,274,3F4B,5,10,シン    はり    Name Readings:  は    ,"needle, pin, staple, stinger "
,鋼,907,1962,395D,5,16,コウ    はがね    ,steel 
,閉,2480,1623,4A44,5,11,ヘイ    と.じる    と.ざす    し.める    し.まる    た.てる    Name Readings:  へ    ,"closed, shut "
,閣,335,1624,3355,5,14,カク    ,"tower, tall building, palace "
,降,909,1308,395F,5,10,コウ    ゴ    お.りる    お.ろす    ふ.る    ふ.り    くだ.る    くだ.す    Name Readings:  ふり    ふる    ,"descend, precipitate, fall, surrender "
,陛,2481,1310,4A45,5,10,ヘイ    ,"highness, steps (of throne) "
,除,1314,1658,3D7C,5,10,ジョ    ジ    のぞ.く    -よ.け    ,"exclude, division (x/3), remove, abolish, cancel, except "
,障,1383,1297,3E63,5,14,ショウ    さわ.る    ,"hinder, hurt, harm "
,難,2149,1580,4671,5,18,ナン    かた.い    -がた.い    むずか.しい    むづか.しい    むつか.しい    -にく.い    Name Readings:  な    なに    ,"difficult, impossible, trouble, accident, defect "
,革,337,1893,3357,5,9,カク    かわ    ,"leather, become serious, skin, hide, pelt "
,頂,1906,94,443A,5,11,チョウ    いただ.く    いただき    ,"place on the head, receive, top of head, top, summit, peak "
,骨,938,1288,397C,5,10,コツ    ほね    ,"skeleton, bone, remains, frame "
,丈,1386,691,3E66,4,3,ジョウ    たけ    だけ    Name Readings:  とも    ますら    ,"length, 10feet, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely "
,与,2757,1246,4D3F,4,3,ヨ    あた.える    あずか.る    くみ.する    ともに    Name Readings:  とも    ゆ    ,"bestow, participate in, give, award, impart, provide, cause, gift, godsend "
,丘,524,1329,3556,4,5,キュウ    おか    Name Readings:  たかし    ,"hill, knoll "
,丹,1802,2038,4330,4,4,タン    に    Name Readings:  た    たみ    まこと    ,"rust-colored, red, read lead, pills "
,乾,381,463,3425,4,11,カン    ケン    かわ.く    かわ.かす    ほ.す    ひ.る    いぬい    ,"drought, dry, dessicate, drink up, heaven, emperor "
,互,815,757,385F,4,4,ゴ    たが.い    かたみ.に    ,"mutually, reciprocally, together "
,井,70,1806,3066,4,4,セイ    ショウ    い    Name Readings:  いの    さい    ひ    ,"well, well crib, town, community "
,介,268,250,3270,4,4,カイ    Name Readings:  すけ    ゆき    ,"jammed in, shellfish, mediate, concern oneself with "
,仰,600,1701,3644,4,6,ギョウ    コウ    あお.ぐ    おお.せ    お.っしゃる    おっしゃ.る    ,"face-up, look up, depend, seek, respect, rever, drink, take "
,伺,1073,1864,3B47,4,7,シ    うかが.う    ,"pay respects, visit, ask, inquire, question, implore "
,依,45,971,304D,4,8,イ    エ    よ.る    Name Readings:  よ    より    ,"reliant, depend on, consequently, therefore, due to "
,侵,1425,1148,3F2F,4,9,シン    おか.す    ,"encroach, invade, raid, trespass, violate "
,俗,1707,968,422F,4,9,ゾク    ,"vulgar, customs, manners, worldliness, mundane things "
,倒,2035,980,455D,4,10,トウ    たお.れる    -だお.れ    たお.す    ,"overthrow, fall, collapse, drop, break down "
,偉,46,1643,304E,4,12,イ    えら.い    Name Readings:  ひで    ,"admirable, greatness, remarkable, conceited, famous, excellent "
,傍,2559,1015,4B35,4,12,ボウ    かたわ.ら    わき    おか-    はた    そば    Name Readings:  び    ,"bystander, side, besides, while, nearby, 3rd person "
,傾,683,1011,3739,4,13,ケイ    かたむ.く    かたむ.ける    かたぶ.く    かた.げる    かし.げる    ,"lean, incline, tilt, trend, wane, sink, ruin, bias "
,僧,1644,982,414E,4,13,ソウ    ,"Buddhist priest, monk "
,儀,493,984,3537,4,15,ギ    Name Readings:  のり    よし    ,"ceremony, rule, affair, case, a matter "
,兼,741,1597,3773,4,10,ケン    か.ねる    -か.ねる    Name Readings:  かね    ,"concurrently, and "
,冒,2571,18,4B41,4,9,ボウ    おか.す    ,"risk, face, defy, dare, damage, assume (a name) "
