,Kanji,Number (KANJIDIC),Heisig RTK1/3,JIS,KanKen (Jun1=1.5) (Jun2=2.5),strokes,Kana,English
,校,873,1278,393B,10,10,コウ    キョウ    Name Readings:  めん    ,"exam, school, printing, proof, correction "
,森,1435,197,3F39,10,12,シン    もり    Name Readings:  もと    ,"forest, woods "
,正,1525,379,4035,10,5,セイ    ショウ    ただ.しい    ただ.す    まさ    まさ.に    Name Readings:  おお    くに    ま    まさし    ただし    ,"correct, justice, righteous, 10**40 "
,気,474,1885,3524,10,6,キ    ケ    いき    ,"spirit, mind "
,水,1479,130,3F65,10,4,スイ    みず    みず-    Name Readings:  うず    ずみ    つ    ど    み    みさ    みつ    みな    みん    ,water 
,火,236,161,3250,10,4,カ    ひ    -び    ほ-    ,fire 
,犬,756,238,3824,10,4,ケン    いぬ    いぬ-    ,dog 
,玉,608,256,364C,10,5,ギョク    たま    たま-    -だま    Name Readings:  おう    だん    ,"jewel, ball "
,王,194,255,3226,10,4,オウ    -ノウ    Name Readings:  おお    おおきみ    わ    ,"king, rule, magnate "
,生,1528,1555,4038,10,5,セイ    ショウ    い.きる    い.かす    い.ける    う.まれる    う.まれ    うまれ    う.む    お.う    は.える    は.やす    き    なま    なま-    な.る    な.す    む.す    -う    Name Readings:  あさ    いき    いく    いけ    うぶ    うまい    え,"life, genuine, birth "
,田,2010,14,4544,10,5,デン    た    Name Readings:  いなか    おか    たん    で    とう    や    ,"rice field, rice paddy "
,男,1829,859,434B,10,7,ダン    ナン    おとこ    お    Name Readings:  み    ,male 
,町,1894,92,442E,10,7,チョウ    まち    ,"village, town, block, street "
,白,2244,37,4772,10,5,ハク    ビャク    しろ    しら-    しろ.い    Name Readings:  あき    か    はっ    ,white 
,百,2370,38,4934,10,6,ヒャク    ビャク    もも    Name Readings:  お    ど    どう    なり    ひゃっ    ひゅく    も    もんど    ゆ    ,hundred 
,目,2692,15,4C5C,10,5,モク    ボク    め    -め    ま-    Name Readings:  さかん    さがん    さっか    さつか    ,"eye, class, look, insight, experience, care, favor "
,石,1552,113,4050,10,5,セキ    シャク    コク    いし    Name Readings:  いさ    いす    いわ    し    せっく    と    ,stone 
,空,649,1317,3675,10,8,クウ    そら    あ.く    あ.き    あ.ける    から    す.く    す.かす    むな.しい    Name Readings:  うつ    き    く    ,"empty, sky, void, vacant, vacuum "
,立,2829,431,4E29,10,5,リツ    リュウ    リットル    た.つ    -た.つ    た.ち-    た.てる    -た.てる    た.て-    たて-    -た.て    -だ.て    -だ.てる    Name Readings:  たち    たっ    たつ    だて    つい    ,stand up 
,竹,1847,937,435D,10,6,チク    たけ    Name Readings:  たか    ,bamboo 
,糸,1103,1333,3B65,10,6,シ    いと    ,thread 
,耳,1138,818,3C2A,10,6,ジ    みみ    Name Readings:  がみ    ,ear 
,花,242,1009,3256,10,7,カ    ケ    はな    Name Readings:  わ    ,flower 
,草,1678,224,4170,10,9,ソウ    くさ    くさ-    -ぐさ    Name Readings:  そ    や    ,"grass, weeds, herbs, pasture, write, draft "
,虫,1864,517,436E,10,6,チュウ    キ    むし    Name Readings:  む    ,"insect, bug, temper "
,見,763,57,382B,10,7,ケン    み.る    み.える    み.せる    ,"see, hopes, chances, idea, opinion, look at, visible "
,貝,295,54,332D,10,7,バイ    かい    ,shellfish 
,赤,1558,1743,4056,10,7,セキ    シャク    あか    あか-    あか.い    あか.らむ    あか.らめる    Name Readings:  あ    あこ    あま    ,red 
,足,1705,1279,422D,10,7,ソク    あし    た.りる    た.る    た.す    Name Readings:  あ    あす    おす    たらし    ,"leg, foot, be sufficient, counter for pairs of footwear "
,車,1182,286,3C56,10,7,シャ    くるま    Name Readings:  くら    くろま    ,car 
,金,630,269,3662,10,8,キン    コン    ゴン    かね    かな-    -がね    Name Readings:  かん    きむ    こ    この    ん    ,gold 
,雨,105,422,312B,10,8,ウ    あめ    あま-    -さめ    ,rain 
,青,1540,1534,4044,10,8,セイ    ショウ    あお    あお-    あお.い    Name Readings:  お    ,"blue, green "
,音,215,479,323B,10,9,オン    イン    -ノン    おと    ね    Name Readings:  お    と    ,"sound, noise "
,万,2630,64,4B7C,9,3,マン    バン    よろず    Name Readings:  かず    ま    ゆる    ,ten thousand 
,丸,437,44,345D,9,3,ガン    まる    まる.める    まる.い    Name Readings:  ま    わ    わに    ,"round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away "
,交,834,1275,3872,9,6,コウ    まじ.わる    まじ.える    ま.じる    まじ.る    ま.ざる    ま.ぜる    -か.う    か.わす    かわ.す    こもごも    Name Readings:  かた    ,"mingle, mixing, association, coming & going "
,京,564,312,357E,9,8,キョウ    ケイ    キン    みやこ    Name Readings:  たか    ,"capital, 10**16 "
,今,943,1587,3A23,9,4,コン    キン    いま    Name Readings:  な    ,now 
,会,269,752,3271,9,6,カイ    エ    あ.う    あ.わせる    あつ.まる    Name Readings:  あい    い    ,"meeting, meet, party, association, interview, join "
,体,1738,957,424E,9,7,タイ    テイ    からだ    かたち    Name Readings:  なり    ,"body, substance, object, reality, counter for images "
,何,219,1012,323F,9,7,カ    なに    なん    なに-    なん-    Name Readings:  あが    ,what 
,作,1018,1142,3A6E,9,7,サク    サ    つく.る    つく.り    -づく.り    Name Readings:  くり    さか    さっ    づくり    とも    なお    はぎ    まさか    ,"make, production, prepare, build "
,元,773,59,3835,9,4,ゲン    ガン    もと    Name Readings:  ちか    はじめ    はる    ゆき    よし    ,"beginning, former time, origin "
,兄,685,103,373B,9,5,ケイ    キョウ    あに    Name Readings:  え    せ    よし    ,"elder brother, big brother "
,光,839,119,3877,9,6,コウ    ひか.る    ひかり    Name Readings:  あき    あきら    こお    てる    ひこ    み    みつ    ,"ray, light "
,公,840,784,3878,9,4,コウ    ク    おおやけ    Name Readings:  あきら    き    きみ    きん    たか    ただし    とも    ひろ    まさ    ,"public, prince, official, governmental "
,内,2134,1019,4662,9,4,ナイ    ダイ    うち    Name Readings:  いと    ただ    ち    のち    ,"inside, within, between, among, house, home "
,冬,2037,427,455F,9,5,トウ    ふゆ    ,winter 
,刀,2039,83,4561,9,2,トウ    かたな    そり    Name Readings:  き    ち    と    わき    ,"sword, saber, knife "
,分,2456,781,4A2C,9,4,ブン    フン    ブ    わ.ける    わ.け    わ.かれる    わ.かる    わ.かつ    Name Readings:  いた    わけ    ,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100 "
,切,1562,85,405A,9,4,セツ    サイ    き.る    -き.る    き.り    -き.り    -ぎ.り    き.れる    -き.れる    き.れ    -き.れ    -ぎ.れ    Name Readings:  きつ    きり    ぎり    ,"cut, cutoff, be sharp "
,前,1614,290,4130,9,9,ゼン    まえ    -まえ    Name Readings:  さき    さと    まい    ,"in front, before "
